label,action_1,action_2,action_3,action_4,action_5,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20
action_1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
action_2,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
action_3,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0
action_4,0,0,0,115,4,1,0,0,0,0,0,0,0,0,0,0
action_5,0,0,0,4,116,0,0,0,0,0,0,0,0,0,0,0
action_10,0,0,0,3,5,121,0,0,0,0,0,0,0,1,0,0
action_11,2,0,0,0,0,1,127,0,0,0,0,0,0,0,0,0
action_12,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0
action_13,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0
action_14,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0
action_15,0,0,0,1,0,0,0,1,0,0,128,0,0,0,0,0
action_16,1,0,0,2,0,0,0,1,3,0,0,118,0,3,0,2
action_17,1,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0
action_18,2,0,0,1,0,0,0,0,1,0,0,1,0,125,0,0
action_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0
action_20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129
