label,action_1,action_2,action_3,action_4,action_5,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20
action_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_4,0.0,0.0,0.0,0.958333,0.033333,0.008333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_5,0.0,0.0,0.0,0.033333,0.966667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_10,0.0,0.0,0.0,0.023077,0.038462,0.930769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692,0.0,0.0
action_11,0.015385,0.0,0.0,0.0,0.0,0.007692,0.976923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
action_15,0.0,0.0,0.0,0.007692,0.0,0.0,0.0,0.007692,0.0,0.0,0.984615,0.0,0.0,0.0,0.0,0.0
action_16,0.007692,0.0,0.0,0.015385,0.0,0.0,0.0,0.007692,0.023077,0.0,0.0,0.907692,0.0,0.023077,0.0,0.015385
action_17,0.007692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992308,0.0,0.0,0.0
action_18,0.015385,0.0,0.0,0.007692,0.0,0.0,0.0,0.0,0.007692,0.0,0.0,0.007692,0.0,0.961538,0.0,0.0
action_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
action_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692,0.0,0.992308
