label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25
dm,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0
gg,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0
gt,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0
jm,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
jz,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0
ks,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0
mc,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.333333,0.0
tf,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.0
tm,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0
