label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0.157895,0.157895,0.0,0.105263,0.052632,0.105263,0.105263,0.0,0.157895,0.157895
dm,0.095238,0.428571,0.0,0.190476,0.0,0.095238,0.047619,0.0,0.0,0.142857
gg,0.0,0.095238,0.285714,0.095238,0.238095,0.047619,0.0,0.0,0.142857,0.095238
gt,0.0,0.190476,0.0,0.571429,0.0,0.0,0.047619,0.0,0.0,0.190476
jm,0.047619,0.095238,0.095238,0.190476,0.142857,0.047619,0.190476,0.0,0.0,0.190476
jz,0.047619,0.190476,0.0,0.238095,0.0,0.238095,0.238095,0.0,0.047619,0.0
ks,0.047619,0.047619,0.0,0.0,0.0,0.142857,0.285714,0.190476,0.095238,0.190476
mc,0.0,0.055556,0.055556,0.0,0.0,0.055556,0.388889,0.166667,0.055556,0.222222
tf,0.047619,0.0,0.095238,0.0,0.0,0.047619,0.142857,0.047619,0.52381,0.095238
tm,0.047619,0.095238,0.0,0.047619,0.047619,0.047619,0.095238,0.047619,0.0,0.571429
