label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0.052632,0.157895,0.052632,0.263158,0.052632,0.105263,0.052632,0.0,0.052632,0.210526
dm,0.0,0.238095,0.047619,0.190476,0.0,0.238095,0.047619,0.047619,0.142857,0.047619
gg,0.0,0.095238,0.0,0.285714,0.047619,0.142857,0.142857,0.0,0.095238,0.190476
gt,0.047619,0.095238,0.047619,0.428571,0.0,0.095238,0.047619,0.0,0.047619,0.190476
jm,0.142857,0.190476,0.0,0.285714,0.0,0.190476,0.047619,0.0,0.0,0.142857
jz,0.047619,0.238095,0.0,0.095238,0.0,0.238095,0.190476,0.0,0.047619,0.142857
ks,0.095238,0.047619,0.0,0.142857,0.047619,0.285714,0.095238,0.0,0.047619,0.238095
mc,0.055556,0.111111,0.0,0.277778,0.0,0.111111,0.166667,0.0,0.166667,0.111111
tf,0.047619,0.0,0.0,0.47619,0.047619,0.095238,0.047619,0.0,0.095238,0.190476
tm,0.142857,0.0,0.0,0.47619,0.047619,0.095238,0.047619,0.0,0.0,0.190476
